product,vendor code,code,group code,main provider,main manufacturer,tax,country-provider,discount,price
Рычаги передние верхние (пара),6025,1285,Jan-16,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,1,4.37
Ступица задняя (пара),6031,1286,Jan-16,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,143.5
Радиобокс,6045,1287,Jan-16,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,23.5
Тяги рулевые регулируемые (пара),6050,1288,Jan-16,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,2.1
Подшипник 08х04х3 мм (1шт.),6057,1289,Подшипники,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,1.31
Клипса корпуса для моделей масштаба 1/10-1/16 (10шт.),6066,1290,Клипсы,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,5,2.2
я Набор болтов 3*3,6069,1291,"Винты(в т.ч. стопорные), болты",XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,5,37.5
я Винт стопорный M3 x4 ,6070,1292,"Винты(в т.ч. стопорные), болты",XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,6,3.07
я Аккумулятор 1500 mAh литий-полимерный,6090,1293,"Li-po, Ni-Mh, Ni-cd",,,20%,КИТАЙ ,1,4.77
я Регулятор скорости БК 40A ZD Racing,6091,1294,Регуляторы скорости(ESC),,,20%,КИТАЙ ,,12
Стойка корпуса передняя/задняя (пара),6104,1295,Jan-16,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,3.11
Бампер передний/задний ,6105,1296,Jan-16,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,17
Кардан центральный (2 шт).,6214,1297,Jan-16,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,5,9.8
Колесо в сборе 1/16 монстр (пара) ZD,6221,1298,"Колёса, шины, диски, вставки и аксессуары",XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,5,36.52
Стойка амортизаторов (бабочка) передняя,6253,1299,Jan-16,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,6,1.85
Стойка амортизаторов (бабочка) задняя,6254,1300,Jan-16,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,23.5
Держатели рычагов передних,6255,1301,Jan-16,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,1.25
Держатели рычагов задних,6256,1302,Jan-16,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,5,5.6
Рычаги передние нижние (пара),6257,1303,Jan-16,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,1,4.77
Рычаги задние нижние (пара),6258,1304,Jan-16,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,14
Держатель ступицы С-хаб (пара),6259,1305,Jan-16,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,3.58
Ступица передняя (пара),6260,1306,Jan-16,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,17
Редуктор задний в сборе,6262,1307,Jan-16,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,5,2.2
Корпус монстр желтый с наклейками,6264,1308,Jan-16,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,5,37.5
я Корпус трагги зеленый с наклейками СТАРЬЕ,6280,1309,Jan-16,,,20%,КИТАЙ ,6,1.85
Серво сейвер,6300,1310,Jan-16,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,0.48
Держатель двигателя (моторама),6302,1311,Jan-16,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,5,2.6
Шестерня ведомая 40Т  ,6306,1312,Jan-16,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,5,37.5
Шестерня ведущая(пиньон) 14T/16T/2.3mm ZD Racing,6314,1313,Шестерни (пиньоны),XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,1,3.99
Амортизаторы передние (пара),6318,1314,Jan-16,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,23.5
Амортизаторы задние (пара),6319,1315,Jan-16,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,2.15
Стабилизатор передний,6324,1316,Jan-16,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,5,5.5
Стабилизатор задний,6325,1317,Jan-16,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,6,7.52
Рычаги передние верхние (алюминий) (пара),6390,1318,Jan-16,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,5,21.3
Радиатор охлаждения двигателя 24мм,6463,1319,Охлаждение двигателей,XINGYAOHUA,XINGYAOHUA,20%,КИТАЙ ,,10
